filename	size
BG107_A3300007_Gata2.bed	42172
BG108_A3300008_PU1.bed	78052
BG109_A3300009_Runx1.bed	50581
BG110_A3300010_Scl.bed	11699
BG122_A420009_Erg.bed	24222
BG123_A420010_Fli1.bed	31843
BG125_A420012_Lmo2.bed	47434
BG126_A420013_Meis1.bed	2790
BG139_A610003_CTCF.bed	54958
BG140_A610004_E2A.bed	2149
BG145_A730001_Mitf.bed	4426
BG147_A730003_Gfi1.bed	4222
BG162_B460002_cFos.bed	7075
BG26_PU1_HPC7.bed	10927
BG43_Lmo2_HPC7.bed	5200
BG61_BG61r_Runx1_HP.bed	1189
BG83_5307_3_CTCF.bed	43786
BG87_5307_8_E2A.bed	5856
BG98_5684_8_Gfi1b.bed	5119
CEBPa_GSM537984_Macrophages.bed	18514
CEBPb_GSM537985_Macrophages.bed	22674
CEBPb_GSM686970_day0_Adipocytes.bed	22187
CEBPb_GSM686971_2h_Adipocytes.bed	21996
CEBPb_GSM686972_4h_Adipocytes.bed	34395
CEBPb_GSM686973_day2_Adipocytes.bed	20117
CEBPd_GSM686974_day0_Adipocytes.bed	2355
CEBPd_GSM686975_4h_Adipocytes.bed	21038
CHD2_GSM912929_MEL.bed	5518
CTCF_GSM1023416_Rag1-_DN_Thymo.bed	26091
CTCF_GSM1023418_Rag1-_DP_Thymo.bed	33118
CTCF_GSM1023420_Rag1-_Pro_B.bed	33285
CTCF_GSM535747_Pre-Adipocyte.bed	28653
CTCF_GSM912896_MEL.bed	43381
ERX206185_87_Gata_1_Ter119_neg.bed	31863
ERX206186_89_Gata_1_Ter119_pos.bed	9499
Elf1_GSM999184_Treg_T-Cells.bed	6466
Elf1_GSM999185_TN_T-Cells.bed	11465
Eto2_ERX002124_MEL.bed	620
Eto2_ERX002126_MEL.bed	588
Ets1_GSM777093_G1ME_MK-Prog.bed	5713
Ets1_GSM999186_Treg_T-Cells.bed	3308
Ets1_GSM999187_CD4_T-Cells.bed	8085
Foxp3_GSM999179_80_82_Treg_T-Cells.bed	7574
GR_GSM686976_4h_Adipocytes.bed	6336
GSM1003593_Kdm2a.bed	9799
GSM1003594_Kdm2b.bed	10277
GSM1003596_Rnf2.bed	15516
GSM1003597_Kdm2b.bed	19903
GSM1003599_Rnf2.bed	12416
GSM1003600_Kdm2b.bed	7838
GSM1004784_85_BatF_Th0.bed	59512
GSM1004786_87_BatF_Th17.bed	70528
GSM1004789_91_BatF_Th0.bed	29167
GSM1004790_92_BatF_Th0.bed	25320
GSM1004793_BatF_Th17.bed	48159
GSM1004794_96_BatF_Th17.bed	59557
GSM1004795_97_BatF_Th17.bed	59337
GSM1004799_800_cMaf_Th17.bed	45144
GSM1004802_03_Ctcf_Th0.bed	55537
GSM1004804_05_Ctcf_Th17.bed	19849
GSM1004806_07_Etv6_Th17.bed	10104
GSM1004808_Fosl2_Th0.bed	18371
GSM1004809_10_Fosl2_Th17.bed	66266
GSM1004819_20_Hif1a_Th17.bed	13948
GSM1004821_Irf4_Th0.bed	32623
GSM1004822_Irf4_Th0.bed	11467
GSM1004823_24_Irf4_Th0.bed	26187
GSM1004825_Irf4_Th0.bed	30496
GSM1004826_Irf4_Th0.bed	25656
GSM1004827_Irf4_Th17.bed	28497
GSM1004828_Irf4_Th17.bed	28981
GSM1004829_Irf4_Th17.bed	51046
GSM1004830_Irf4_Th17.bed	33603
GSM1004831_Irf4_Th17.bed	26615
GSM1004833_35_Irf4_Th17.bed	70981
GSM1004834_36_Irf4_Th17.bed	62357
GSM1004837_Irf4_Th17.bed	36821
GSM1004838_Irf4_Th17.bed	24477
GSM1004839_Kdm6b_Th17.bed	2919
GSM1004840_Kdm6b_Th17.bed	11298
GSM1004841_42_p300_Th0.bed	5302
GSM1004843_p300_Th17.bed	20775
GSM1004844_p300_Th17.bed	10636
GSM1004845_p300_Th17.bed	27663
GSM1004846_p300_Th17.bed	16563
GSM1004847_p300_Th17.bed	18813
GSM1004848_p300_Th17.bed	14782
GSM1004849_50_p300_Th17.bed	9857
GSM1004851_p300_Th17.bed	5273
GSM1004852_p300_Th17.bed	27800
GSM1004855_56_Rorc_Th17.bed	22484
GSM1004858_Stat3_Th17.bed	277
GSM1004859_Stat3_Th17.bed	6265
GSM1004860_61_Stat3_Th17.bed	11325
GSM1004863_65_Stat3_Th17.bed	25177
GSM1004864_66_Stat3_Th17.bed	25920
GSM1014542_Ezh2.bed	5408
GSM1014546_Kdm2b.bed	17804
GSM1014548_Ring1b.bed	4289
GSM1014575_Stat5b.bed	5095
GSM1014576_Stat6.bed	2626
GSM1015512_Gata4.bed	16079
GSM1015513_Gata4.bed	2877
GSM1019771_Suz12.bed	10678
GSM1020006_Smc3.bed	32878
GSM1020007_Smc3.bed	32809
GSM1020008_Smc3.bed	15317
GSM1020009_Smc3.bed	14956
GSM1020012_Ctcf.bed	22790
GSM1020013_Ctcf.bed	26595
GSM1027476_Cebpb.bed	45220
GSM1027478_Runx2.bed	32094
GSM1027494_Cebpb.bed	59266
GSM1031977_Sfpi1.bed	86356
GSM1038263_Med1.bed	11166
GSM1040573_4_Ikzf1.bed	42716
GSM1041372_Ring1B.bed	3854
GSM1041373_Cbx7.bed	1031
GSM1041374_Suz12.bed	7635
GSM1050288_Sox2.bed	8567
GSM1050289_Sox2.bed	3730
GSM1050291_Sox2.bed	7431
GSM1050295_Sox2.bed	1546
GSM1050298_Sox2.bed	855
GSM1050301_Sox2.bed	4035
GSM1050304_Sox2.bed	2786
GSM1055553_Ldb1.bed	3984
GSM1058995_Kdm4b.bed	12202
GSM1058996_Kdm4c.bed	27981
GSM1059004_Ezh2.bed	3081
GSM1059011_Nanog.bed	21782
GSM1059012_Pou5f1.bed	17015
GSM1059013_Polr2a.bed	10897
GSM1059014_Polr2a.bed	1989
GSM1059015_Polr2a.bed	15636
GSM1059016_Spt5.bed	15485
GSM1059024_Pou5f1.bed	13746
GSM1059025_Ctr9.bed	2492
GSM1059031_Pou5f1.bed	19218
GSM1059032_Nanog.bed	16402
GSM1059034_Polr2a.bed	17644
GSM1059035_Polr2a.bed	2554
GSM1059036_Polr2a.bed	16779
GSM1059037_Spt5.bed	16697
GSM1065517_bCatenin.bed	3889
GSM1065518_bCatenin.bed	3889
GSM1082340_Pou5f1.bed	18183
GSM1082341_Sox2.bed	9933
GSM1082342_Nanog.bed	15067
GSM1082346_Cdk8.bed	16681
GSM1082347_Cdk9.bed	17021
GSM1088169_Ctcf.bed	29500
GSM1088171_Ctcf.bed	26700
GSM1090228_Tbx3.bed	4399
GSM1090229_Tbx3.bed	2746
GSM1090230_Nanog.bed	19415
GSM1090231_Nanog.bed	11934
GSM1103355_Runx1.bed	5747
GSM1103356_Ep300.bed	234
GSM1131775_Foxo1.bed	1244
GSM1132365_Erg.bed	5465
GSM1132367_Erg.bed	3687
GSM1133644_Hnf1a.bed	10776
GSM1142809_10_Cebpa.bed	15168
GSM1150325_Ptf1a.bed	10947
GSM1150327_Rbpj.bed	2082
GSM1150328_Rbpj.bed	1530
GSM1150329_Rbpjl.bed	13769
GSM1150333_Foxa2.bed	28643
GSM1151145_Ctcf.bed	35421
GSM1151146_Gata1.bed	3225
GSM1151147_Nfe2.bed	3554
GSM1151623_Maf.bed	4177
GSM1165493_Klf1.bed	4812
