filename	size
GSM1004784_85_BatF_Th0.bed	38464
GSM1276938_Ascl2.bed	3648
GSM904767_Stat5b.bed	264
GSM881066_DC_Ets2_30.bed	373
GSM867158_59_60_Gata1.bed	2395
Gata1_ERX002128_MEL.bed	3602
GSM1288393_Junb.bed	3253
GSM1004860_61_Stat3_Th17.bed	7543
GSM1050304_Sox2.bed	1664
GSM1088169_Ctcf.bed	16418
GSM558906_Nkx2-5.bed	18388
GSM1059012_Pou5f1.bed	10533
GSM1234372_Stat6.bed	7047
GSM881121_DC_Stat3_60.bed	134
GSM515678_POL2_Dox24h.bed	10607
GSM1019771_Suz12.bed	8843
GSM1041373_Cbx7.bed	928
GSM840466_HoxB4_ESCells_d6.bed	1915
Ets1_GSM999186_Treg_T-Cells.bed	2395
GSM1015512_Gata4.bed	11783
GSM1004863_65_Stat3_Th17.bed	17362
GSM1151146_Gata1.bed	1405
GSM1004826_Irf4_Th0.bed	18098
GSM1004790_92_BatF_Th0.bed	17439
GSM881054_DC_Ctcf_30.bed	11373
GSM1090228_Tbx3.bed	3275
GSM632057_Nfya.bed	743
GSM749809_Ell2.bed	945
GSM773994_Tcf7.bed	7209
GSM881096_DC_Maff_120.bed	654
PU.1_GSM940929__IL4_4h_BMDM.bed	57931
Elf1_GSM999185_TN_T-Cells.bed	8144
GSM515666_Ctr9.bed	585
GSM1004840_Kdm6b_Th17.bed	6630
GSM558904_Gata4.bed	11393
GSM867156_7_Gata1.bed	2824
Stat1_GSM1022317_tc_IFNg_2h_BMDM.bed	13238
GSM1301741_Men1.bed	12069
GSM746555_6_Tal1.bed	3834
GSM288352_Zfx.bed	5364
GSM1059011_Nanog.bed	13008
GSM515670_POL2_DMSO_1h.bed	6098
GSM978770_Jun.bed	11916
GSM883646_Smc1a.bed	15848
GSM773995_GSM773996_Runx1.bed	3674
GSM1289235_Irf8.bed	10431
GSM1059035_Polr2a.bed	1237
GSM1004846_p300_Th17.bed	11940
GSM935891_Ell3.bed	5837
GSM1004839_Kdm6b_Th17.bed	2162
GSM1059032_Nanog.bed	9890
GSM700553_Suz12_Pcl3_shRNA.bed	5069
GSM288345_Nanog.bed	1093
GSM832316_Cbfb.bed	3570
GSM1184045_Nanog.bed	5231
PU.1_GSM1022312_tc_IFNg_1h_BMDM.bed	33565
GSM327668_Ezh2.bed	2442
GSM774942_Taf1.bed	743
GSM307137_Oct4.bed	3540
GSM1246866_Crebbp.bed	1791
GSM632059_POL2.bed	5997
GSM1004845_p300_Th17.bed	18932
GSM1004838_Irf4_Th17.bed	16810
CEBPb_GSM686973_day2_Adipocytes.bed	13852
GSM881067_DC_Ets2_60.bed	884
PU.1_GSM940934_CpG_BMDM.bed	60383
Elf1_GSM999184_Treg_T-Cells.bed	4677
GSM989023_Fli1.bed	3695
JunB_GSM1022319_LPS_4h_BMDM.bed	21737
GSM877317_Ebf1.bed	2264
GSM968709_V5.bed	32522
GSM722387_Gata2.bed	8773
GSM1309511_2_Irf4.bed	4059
GSM1285796_Hnf1a.bed	3232
GSM1004843_p300_Th17.bed	14880
GSM1181851_Runx3.bed	4296
GSM918744_CTCF.bed	17245
GSM1004864_66_Stat3_Th17.bed	17469
GSM932925_31_Pax5.bed	5624
GSM1082341_Sox2.bed	5521
GSM647225_p53.bed	12945
GSM881070_DC_Hif1a_30.bed	23
GSM774946_POL2.bed	3475
GSM978751_Irf4.bed	2521
GSM1004786_87_BatF_Th17.bed	42651
GSM1020006_Smc3.bed	20932
GSM288351_CTCF.bed	15071
GSM1214529_Runx3.bed	11430
GSM1082342_Nanog.bed	8666
GSM687279_Hdac2.bed	3984
PU.1_GSM940931_TGFb1_4h_BMDM.bed	59093
GSM671419_Stat5B.bed	8290
GSM959055_Zfp143.bed	1756
GSM1223648_Cebpa.bed	18736
p300_GSM912921_MEL.bed	21198
GSM555160_2_TBP.bed	1923
GSM989024_Tal1.bed	4693
GSM979715_Tfe3.bed	3075
BG83_5307_3_CTCF.bed	25073
GSM545882_5_Sfpi1.bed	6013
GSM1059016_Spt5.bed	11188
GSM307138_Sox2.bed	1913
PPARg_GSM686980_day6_Adipocytes.bed	4007
GSM552233_Fli1.bed	11783
GSM307142_Tcf3.bed	784
Gata1_GSM912907_MEL.bed	28513
GSM1165493_Klf1.bed	4039
GSM881098_DC_Maff_60.bed	1091
c-Myb_GSM912903_MEL.bed	4468
