filename	size
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Est10nm1hUniPk.narrowPeak	16091
wgEncodeAwgTfbsHaibEcc1EralphaaV0416102Gen1hUniPk.narrowPeak	11452
wgEncodeAwgTfbsHaibEcc1Foxa1sc6553V0416102Dm002p1hUniPk.narrowPeak	5892
wgEncodeAwgTfbsHaibEcc1GrV0416102Dex100nmUniPk.narrowPeak	9255
wgEncodeAwgTfbsHaibEcc1Pol2V0416102Dm002p1hUniPk.narrowPeak	20137
wgEncodeAwgTfbsHaibGm12878Atf2sc81188V0422111UniPk.narrowPeak	23467
wgEncodeAwgTfbsHaibGm12878Atf3Pcr1xUniPk.narrowPeak	1677
wgEncodeAwgTfbsHaibGm12878BatfPcr1xUniPk.narrowPeak	32427
wgEncodeAwgTfbsHaibGm12878Bcl11aPcr1xUniPk.narrowPeak	17876
wgEncodeAwgTfbsHaibGm12878Bcl3V0416101UniPk.narrowPeak	15455
wgEncodeAwgTfbsHaibGm12878Bclaf101388V0416101UniPk.narrowPeak	6114
wgEncodeAwgTfbsHaibGm12878Cebpbsc150V0422111UniPk.narrowPeak	5786
wgEncodeAwgTfbsHaibGm12878Ebf1sc137065Pcr1xUniPk.narrowPeak	36140
wgEncodeAwgTfbsHaibGm12878Egr1Pcr2xUniPk.narrowPeak	16331
wgEncodeAwgTfbsHaibGm12878Elf1sc631V0416101UniPk.narrowPeak	23008
wgEncodeAwgTfbsHaibGm12878Ets1Pcr1xUniPk.narrowPeak	4120
wgEncodeAwgTfbsHaibGm12878Foxm1sc502V0422111UniPk.narrowPeak	22926
wgEncodeAwgTfbsHaibGm12878GabpPcr2xUniPk.narrowPeak	6566
wgEncodeAwgTfbsHaibGm12878Irf4sc6059Pcr1xUniPk.narrowPeak	17771
wgEncodeAwgTfbsHaibGm12878Mef2aPcr1xUniPk.narrowPeak	17605
wgEncodeAwgTfbsHaibGm12878Mef2csc13268V0416101UniPk.narrowPeak	9216
wgEncodeAwgTfbsHaibGm12878Mta3sc81325V0422111UniPk.narrowPeak	12032
wgEncodeAwgTfbsHaibGm12878Nfatc1sc17834V0422111UniPk.narrowPeak	10812
wgEncodeAwgTfbsHaibGm12878Nficsc81335V0422111UniPk.narrowPeak	29060
wgEncodeAwgTfbsHaibGm12878NrsfPcr1xUniPk.narrowPeak	6906
wgEncodeAwgTfbsHaibGm12878P300Pcr1xUniPk.narrowPeak	5168
wgEncodeAwgTfbsHaibGm12878Pax5c20Pcr1xUniPk.narrowPeak	25342
wgEncodeAwgTfbsHaibGm12878Pax5n19Pcr1xUniPk.narrowPeak	19740
wgEncodeAwgTfbsHaibGm12878Pbx3Pcr1xUniPk.narrowPeak	9941
wgEncodeAwgTfbsHaibGm12878Pmlsc71910V0422111UniPk.narrowPeak	16678
wgEncodeAwgTfbsHaibGm12878Pol24h8Pcr1xUniPk.narrowPeak	19234
wgEncodeAwgTfbsHaibGm12878Pol2Pcr2xUniPk.narrowPeak	27558
wgEncodeAwgTfbsHaibGm12878Pou2f2Pcr1xUniPk.narrowPeak	22891
wgEncodeAwgTfbsHaibGm12878Pu1Pcr1xUniPk.narrowPeak	42938
wgEncodeAwgTfbsHaibGm12878Rad21V0416101UniPk.narrowPeak	40019
wgEncodeAwgTfbsHaibGm12878Runx3sc101553V0422111UniPk.narrowPeak	67965
wgEncodeAwgTfbsHaibGm12878RxraPcr1xUniPk.narrowPeak	1704
wgEncodeAwgTfbsHaibGm12878Six5Pcr1xUniPk.narrowPeak	4839
wgEncodeAwgTfbsHaibGm12878Sp1Pcr1xUniPk.narrowPeak	18248
wgEncodeAwgTfbsHaibGm12878SrfPcr2xUniPk.narrowPeak	8544
wgEncodeAwgTfbsHaibGm12878Stat5asc74442V0422111UniPk.narrowPeak	7423
wgEncodeAwgTfbsHaibGm12878Taf1Pcr1xUniPk.narrowPeak	14278
wgEncodeAwgTfbsHaibGm12878Tcf12Pcr1xUniPk.narrowPeak	20437
wgEncodeAwgTfbsHaibGm12878Tcf3Pcr1xUniPk.narrowPeak	16021
wgEncodeAwgTfbsHaibGm12878Usf1Pcr2xUniPk.narrowPeak	9778
wgEncodeAwgTfbsHaibGm12878Yy1sc281Pcr1xUniPk.narrowPeak	30994
wgEncodeAwgTfbsHaibGm12878Zbtb33Pcr1xUniPk.narrowPeak	2144
wgEncodeAwgTfbsHaibGm12878Zeb1sc25388V0416102UniPk.narrowPeak	4845
wgEncodeAwgTfbsHaibGm12891Pax5c20V0416101UniPk.narrowPeak	3156
wgEncodeAwgTfbsHaibGm12891Pol24h8Pcr1xUniPk.narrowPeak	16236
wgEncodeAwgTfbsHaibGm12891Pol2Pcr1xUniPk.narrowPeak	16585
wgEncodeAwgTfbsHaibGm12891Pou2f2Pcr1xUniPk.narrowPeak	14630
wgEncodeAwgTfbsHaibGm12891Pu1Pcr1xUniPk.narrowPeak	48830
wgEncodeAwgTfbsHaibGm12891Taf1Pcr1xUniPk.narrowPeak	11883
wgEncodeAwgTfbsHaibGm12891Yy1sc281V0416101UniPk.narrowPeak	13593
wgEncodeAwgTfbsHaibGm12892Pax5c20V0416101UniPk.narrowPeak	10300
wgEncodeAwgTfbsHaibGm12892Pol24h8V0416102UniPk.narrowPeak	17407
wgEncodeAwgTfbsHaibGm12892Pol2V0416102UniPk.narrowPeak	20075
wgEncodeAwgTfbsHaibGm12892Taf1V0416102UniPk.narrowPeak	9442
wgEncodeAwgTfbsHaibGm12892Yy1V0416101UniPk.narrowPeak	15951
wgEncodeAwgTfbsHaibH1hescAtf2sc81188V0422111UniPk.narrowPeak	5998
wgEncodeAwgTfbsHaibH1hescAtf3V0416102UniPk.narrowPeak	4808
wgEncodeAwgTfbsHaibH1hescBcl11aPcr1xUniPk.narrowPeak	2518
wgEncodeAwgTfbsHaibH1hescCtcfsc5916V0416102UniPk.narrowPeak	54111
wgEncodeAwgTfbsHaibH1hescEgr1V0416102UniPk.narrowPeak	8743
wgEncodeAwgTfbsHaibH1hescFosl1sc183V0416102UniPk.narrowPeak	1113
wgEncodeAwgTfbsHaibH1hescGabpPcr1xUniPk.narrowPeak	5653
wgEncodeAwgTfbsHaibH1hescHdac2sc6296V0416102UniPk.narrowPeak	5644
wgEncodeAwgTfbsHaibH1hescJundV0416102UniPk.narrowPeak	8447
wgEncodeAwgTfbsHaibH1hescNanogsc33759V0416102UniPk.narrowPeak	5473
wgEncodeAwgTfbsHaibH1hescNrsfV0416102UniPk.narrowPeak	13286
wgEncodeAwgTfbsHaibH1hescP300V0416102UniPk.narrowPeak	8934
wgEncodeAwgTfbsHaibH1hescPol24h8V0416102UniPk.narrowPeak	21342
wgEncodeAwgTfbsHaibH1hescPol2V0416102UniPk.narrowPeak	20317
wgEncodeAwgTfbsHaibH1hescPou5f1sc9081V0416102UniPk.narrowPeak	3997
wgEncodeAwgTfbsHaibH1hescRad21V0416102UniPk.narrowPeak	75680
wgEncodeAwgTfbsHaibH1hescRxraV0416102UniPk.narrowPeak	1306
wgEncodeAwgTfbsHaibH1hescSin3ak20Pcr1xUniPk.narrowPeak	8977
wgEncodeAwgTfbsHaibH1hescSix5Pcr1xUniPk.narrowPeak	3425
wgEncodeAwgTfbsHaibH1hescSp1Pcr1xUniPk.narrowPeak	15110
wgEncodeAwgTfbsHaibH1hescSp2V0422111UniPk.narrowPeak	2469
wgEncodeAwgTfbsHaibH1hescSp4v20V0422111UniPk.narrowPeak	5752
wgEncodeAwgTfbsHaibH1hescSrfPcr1xUniPk.narrowPeak	5105
wgEncodeAwgTfbsHaibH1hescTaf1V0416102UniPk.narrowPeak	20547
wgEncodeAwgTfbsHaibH1hescTaf7sc101167V0416102UniPk.narrowPeak	10475
wgEncodeAwgTfbsHaibH1hescTcf12Pcr1xUniPk.narrowPeak	7833
wgEncodeAwgTfbsHaibH1hescTead4sc101184V0422111UniPk.narrowPeak	19857
wgEncodeAwgTfbsHaibH1hescUsf1Pcr1xUniPk.narrowPeak	26042
wgEncodeAwgTfbsHaibH1hescYy1sc281V0416102UniPk.narrowPeak	18328
wgEncodeAwgTfbsHaibHct116Pol24h8V0416101UniPk.narrowPeak	29178
wgEncodeAwgTfbsHaibHct116Yy1sc281V0416101UniPk.narrowPeak	12749
wgEncodeAwgTfbsHaibHct116Zbtb33V0416101UniPk.narrowPeak	4325
wgEncodeAwgTfbsHaibHelas3GabpPcr1xUniPk.narrowPeak	6761
wgEncodeAwgTfbsHaibHelas3NrsfPcr1xUniPk.narrowPeak	10247
wgEncodeAwgTfbsHaibHelas3Pol2Pcr1xUniPk.narrowPeak	25332
wgEncodeAwgTfbsHaibHelas3Taf1Pcr1xUniPk.narrowPeak	16100
wgEncodeAwgTfbsHaibHepg2Atf3V0416101UniPk.narrowPeak	3291
wgEncodeAwgTfbsHaibHepg2Bhlhe40V0416101UniPk.narrowPeak	2859
wgEncodeAwgTfbsHaibHepg2Cebpbsc150V0416101UniPk.narrowPeak	18125
wgEncodeAwgTfbsHaibHepg2Cebpdsc636V0416101UniPk.narrowPeak	11433
wgEncodeAwgTfbsHaibHepg2Ctcfsc5916V0416101UniPk.narrowPeak	55778
wgEncodeAwgTfbsHaibHepg2Elf1sc631V0416101UniPk.narrowPeak	18001
wgEncodeAwgTfbsHaibHepg2Fosl2V0416101UniPk.narrowPeak	25211
wgEncodeAwgTfbsHaibHepg2Foxa1sc101058V0416101UniPk.narrowPeak	43114
wgEncodeAwgTfbsHaibHepg2Foxa1sc6553V0416101UniPk.narrowPeak	51264
wgEncodeAwgTfbsHaibHepg2Foxa2sc6554V0416101UniPk.narrowPeak	40989
wgEncodeAwgTfbsHaibHepg2GabpPcr2xUniPk.narrowPeak	10109
wgEncodeAwgTfbsHaibHepg2Hdac2sc6296V0416101UniPk.narrowPeak	18836
wgEncodeAwgTfbsHaibHepg2Hnf4asc8987V0416101UniPk.narrowPeak	20805
wgEncodeAwgTfbsHaibHepg2Hnf4gsc6558V0416101UniPk.narrowPeak	20384
wgEncodeAwgTfbsHaibHepg2JundPcr1xUniPk.narrowPeak	21614
wgEncodeAwgTfbsHaibHepg2Mbd4sc271530V0422111UniPk.narrowPeak	5912
wgEncodeAwgTfbsHaibHepg2Mybl2sc81192V0422111UniPk.narrowPeak	17898
wgEncodeAwgTfbsHaibHepg2Nficsc81335V0422111UniPk.narrowPeak	16091
wgEncodeAwgTfbsHaibHepg2NrsfPcr2xUniPk.narrowPeak	6024
wgEncodeAwgTfbsHaibHepg2NrsfV0416101UniPk.narrowPeak	12828
wgEncodeAwgTfbsHaibHepg2P300V0416101UniPk.narrowPeak	27913
wgEncodeAwgTfbsHaibHepg2Pol24h8V0416102UniPk.narrowPeak	19586
wgEncodeAwgTfbsHaibHepg2Pol2Pcr2xUniPk.narrowPeak	25927
wgEncodeAwgTfbsHaibHepg2Rad21V0416101UniPk.narrowPeak	54315
wgEncodeAwgTfbsHaibHepg2RxraPcr1xUniPk.narrowPeak	17063
wgEncodeAwgTfbsHaibHepg2Sin3ak20Pcr1xUniPk.narrowPeak	16459
wgEncodeAwgTfbsHaibHepg2Sp1Pcr1xUniPk.narrowPeak	25477
wgEncodeAwgTfbsHaibHepg2Sp2V0422111UniPk.narrowPeak	2626
wgEncodeAwgTfbsHaibHepg2SrfV0416101UniPk.narrowPeak	5314
wgEncodeAwgTfbsHaibHepg2Taf1Pcr2xUniPk.narrowPeak	16659
wgEncodeAwgTfbsHaibHepg2Tcf12Pcr1xUniPk.narrowPeak	2061
wgEncodeAwgTfbsHaibHepg2Tead4sc101184V0422111UniPk.narrowPeak	15160
wgEncodeAwgTfbsHaibHepg2Usf1Pcr1xUniPk.narrowPeak	21890
wgEncodeAwgTfbsHaibHepg2Yy1sc281V0416101UniPk.narrowPeak	17876
wgEncodeAwgTfbsHaibHepg2Zbtb33Pcr1xUniPk.narrowPeak	2879
wgEncodeAwgTfbsHaibHepg2Zbtb7aV0416101UniPk.narrowPeak	9189
wgEncodeAwgTfbsHaibHuvecPol24h8V0416101UniPk.narrowPeak	32525
wgEncodeAwgTfbsHaibHuvecPol2Pcr1xUniPk.narrowPeak	19254
wgEncodeAwgTfbsHaibK562Atf3V0416101UniPk.narrowPeak	16011
wgEncodeAwgTfbsHaibK562Bcl3Pcr1xUniPk.narrowPeak	1603
wgEncodeAwgTfbsHaibK562Bclaf101388Pcr1xUniPk.narrowPeak	4444
wgEncodeAwgTfbsHaibK562Cbx3sc101004V0422111UniPk.narrowPeak	20723
wgEncodeAwgTfbsHaibK562Cebpbsc150V0422111UniPk.narrowPeak	22240
wgEncodeAwgTfbsHaibK562CtcfcPcr1xUniPk.narrowPeak	45603
wgEncodeAwgTfbsHaibK562Ctcflsc98982V0416101UniPk.narrowPeak	11533
wgEncodeAwgTfbsHaibK562E2f6V0416102UniPk.narrowPeak	24570
wgEncodeAwgTfbsHaibK562Egr1V0416101UniPk.narrowPeak	36997
wgEncodeAwgTfbsHaibK562Elf1sc631V0416102UniPk.narrowPeak	27780
wgEncodeAwgTfbsHaibK562Ets1V0416101UniPk.narrowPeak	10726
wgEncodeAwgTfbsHaibK562Fosl1sc183V0416101UniPk.narrowPeak	11174
wgEncodeAwgTfbsHaibK562GabpV0416101UniPk.narrowPeak	14393
wgEncodeAwgTfbsHaibK562Gata2sc267Pcr1xUniPk.narrowPeak	19322
wgEncodeAwgTfbsHaibK562Hdac2sc6296V0416102UniPk.narrowPeak	6672
wgEncodeAwgTfbsHaibK562MaxV0416102UniPk.narrowPeak	46171
wgEncodeAwgTfbsHaibK562Mef2aV0416101UniPk.narrowPeak	5631
wgEncodeAwgTfbsHaibK562Nr2f2sc271940V0422111UniPk.narrowPeak	16678
wgEncodeAwgTfbsHaibK562NrsfV0416102UniPk.narrowPeak	15849
wgEncodeAwgTfbsHaibK562Pmlsc71910V0422111UniPk.narrowPeak	15895
wgEncodeAwgTfbsHaibK562Pol24h8V0416101UniPk.narrowPeak	23352
wgEncodeAwgTfbsHaibK562Pol2V0416101UniPk.narrowPeak	24989
wgEncodeAwgTfbsHaibK562Pu1Pcr1xUniPk.narrowPeak	28677
wgEncodeAwgTfbsHaibK562Rad21V0416102UniPk.narrowPeak	34725
wgEncodeAwgTfbsHaibK562Sin3ak20V0416101UniPk.narrowPeak	12700
